Model_ID,ICA_CE_Radius,MCA_CE_Radius,ACA_CE_Radius,Murray_Deviation_Percent,Murray_Exponent_k_minimize,Murray_Exponent_k_root
ct_086_R,2.13005475,1.64553525,1.0976002500000002,40.213,1.61977,1.61977
ct_087_L,2.899033,1.48651375,1.225313,78.968,0.91166,0.91166
ct_087_R,2.172288333333333,1.65463025,1.03019475,45.141,1.47978,1.47978
ct_088_L,1.66404575,1.37158025,0.873172,29.555,1.85809,1.85808
ct_088_R,1.827476388888889,1.6800085,0.9465175,8.413,2.51731,2.51731
ct_089_L,1.954549,1.6035737500000002,1.0921145,27.331,1.95382,1.95382
ct_089_R,1.80854775,1.42239375,1.16552075,24.586,2.1042,2.1042
ct_090_L,1.9256985,1.6129997499999995,1.122341,21.435,2.13783,2.13783
ct_090_R,2.0334574999999995,1.5376288888888887,1.2079945,35.799,1.79011,1.79011
ct_131_L,1.865048928571429,1.2169585,0.6431300000000001,68.118,0.99589,0.99589
ct_131_R,1.73326675,1.20039425,0.7297212500000001,59.32,1.19563,1.19562
ct_132_L,1.8586222500000005,1.01717875,1.308128,48.745,1.48966,1.48966
ct_132_R,1.7039205,1.50615775,0.6351387500000001,25.755,1.69165,1.69165
ct_133_L,2.12616825,1.4372955,0.98117475,59.28,1.23754,1.23754
ct_134_L,2.1715167857142856,1.7200477499999998,1.45227775,20.39,2.23798,2.23798
ct_135_L,1.763265,1.45378325,0.71585675,37.262,1.5195,1.5195
ct_135_R,1.8719315,1.4208955,1.25616825,26.048,2.07928,2.07928
